English,Português
very,muito
before,antes
great,ótimo
think,pensar
keep,manter
where,onde
thing,coisa
take,levar
why,por que
look,olhar
also,também
help,ajudar
put,colocar
mean,significar
turn,virar
home,casa
read,ler
hand,mão
port,porto
large,grande
spell,soletrar
add,adicionar
even,mesmo
land,terra
here,aqui
must,deve
big,grande
high,alto
such,tal
follow,seguir
act,agir
why,por que
ask,perguntar
men,homens
change,mudança
went,foi
light,luz
kind,gentil
off,desligado
need,precisar
house,casa
picture,foto
try,tentar
again,de novo
animal,animal
point,ponto
mother,mãe
world,mundo
near,perto
build,construir
self,si mesmo
earth,terra
father,pai
head,cabeça
stand,estar de pé
own,próprio
page,página
should,deveria
country,país
found,encontrado
answer,resposta
school,escola
grow,crescer
study,estudar
still,ainda
learn,aprender
plant,planta
cover,cobrir
food,comida
sun,sol
four,quatro
between,entre
state,estado
keep,manter
eye,olho
never,nunca
last,último
let,permitir
thought,pensamento
city,cidade
tree,árvore
cross,cruzar
farm,fazenda
hard,duro
start,começo
the,o
be,ser/estar
to,para/a
of,de
and,e
a,um/uma
in,em
that,isso/aquele
have,ter
I,eu
it,isso
for,para
not,não
on,em
with,com
he,ele
as,como
you,você
do,fazer
at,em
this,este
but,mas
his,seu
by,por
from,de
they,eles/elas
we,nós
say,dizer
her,ela
she,ela
or,ou
an,um
will,vai
my,meu
one,um
all,todos/tudo
would,iria
there,lá
their,seu
what,o que
so,então
up,para cima
out,fora
if,se
about,sobre
who,quem
get,obter
which,que
go,ir
me,me
when,quando
make,fazer
can,poder
like,como/gostar
time,tempo
no,não
just,só
him,ele
know,saber
take,levar
people,pessoas
into,para dentro
year,ano
your,seu
good,bom
some,algum
could,poderia
them,eles/elas
see,ver
other,outro
than,do que
then,então
now,agora
look,olhar
only,só
come,vir
its,sua
over,sobre
think,pensar
also,também
back,voltar
after,depois
use,usar
two,dois
how,como
our,nosso
work,trabalho
first,primeiro
well,bem
way,caminho
even,mesmo
new,novo
want,querer
because,porque
any,qualquer
these,estes
give,dar
day,dia
most,mais
us,nos